e,b,r12,r23,r31,nd,nc,rej,time
0.1,0,1,5,8,186,0,0,47.334110260009766
0.1,5,1,1,4,194,0,0,56.08595108985901
0.1,10,0,4,4,192,0,0,28.261562824249268
0.1,15,1,2,4,193,0,0,52.491382360458374
0.1,20,1,3,4,192,0,0,35.59252619743347
0.1,25,2,2,2,194,0,0,38.65545105934143
0.1,30,0,0,0,200,0,0,8.914474964141846
0.1,35,0,0,0,200,0,0,8.60171890258789
0.1,40,1,0,0,199,0,0,11.87181806564331
0.1,45,0,0,0,199,0,1,7.109194993972778
