e,b,r12,r23,r31,nd,nc,rej,time
1.0,0,0,15,13,71,0,1,36.694894790649414
1.0,50,0,7,11,80,0,2,42.87479543685913
1.0,100,0,10,8,80,0,2,39.617411613464355
1.0,150,0,8,10,82,0,0,41.68557262420654
1.0,200,0,12,9,79,0,0,46.61450982093811
1.0,250,0,2,1,94,0,3,10.714350938796997
1.0,300,0,0,1,97,0,2,6.827026605606079
1.0,350,0,1,0,99,0,0,6.012816667556763
1.0,400,0,1,0,98,0,1,5.80043888092041
1.0,450,0,0,0,100,0,0,3.933382749557495
