e,b,n12,n23,n31,nd,nc,rej,time
50.0,90.0,0,0,0,30000,0,0,49.824562072753906
50.0,92.0,0,0,0,30000,0,0,49.67631125450134
50.0,94.0,0,0,0,30000,0,0,48.516807556152344
50.0,100.0,0,0,0,30000,0,0,46.78540277481079
50.0,98.0,0,0,0,29999,0,1,47.20721244812012
50.0,96.0,0,0,0,30000,0,0,47.77362251281738
50.0,16.0,160,81,82,29677,0,0,1180.8252959251404
100.0,5.0,242,163,175,29420,0,0,1206.289977312088
100.0,7.0,244,143,140,29473,0,0,1228.2936248779297
100.0,6.0,248,170,171,29411,0,0,1279.0426852703094
100.0,4.0,256,190,169,29384,0,1,1363.2932314872742
100.0,2.0,229,272,295,29204,0,0,1407.8857126235962
100.0,3.0,245,210,224,29321,0,0,1418.0594608783722
100.0,0.0,255,338,359,29048,0,0,1475.3042168617249
100.0,1.0,222,331,315,29132,0,0,1483.7842898368835
100.0,15.0,115,62,55,29768,0,0,821.6846785545349
100.0,10.0,153,99,111,29637,0,0,1083.0407230854034
100.0,12.0,160,90,83,29667,0,0,979.7275969982147
100.0,11.0,162,109,89,29640,0,0,1076.2392587661743
100.0,9.0,210,132,136,29522,0,0,1232.0002896785736
100.0,8.0,240,118,156,29485,0,1,1274.842619419098
100.0,13.0,139,62,72,29727,0,0,1069.5796856880188
100.0,14.0,133,54,59,29754,0,0,1050.7529828548431
100.0,22.0,9,9,10,29971,0,1,207.30466985702515
100.0,23.0,7,5,5,29983,0,0,217.4914951324463
100.0,21.0,16,16,19,29949,0,0,307.41444182395935
100.0,20.0,25,14,19,29942,0,0,357.7375679016113
100.0,24.0,2,0,2,29996,0,0,164.49983143806458
100.0,19.0,45,23,18,29914,0,0,426.05681014060974
100.0,25.0,1,2,2,29995,0,0,146.3777129650116
100.0,18.0,73,14,26,29887,0,0,569.2580418586731
100.0,27.0,1,1,2,29996,0,0,159.29697179794312
100.0,28.0,0,0,0,29999,0,1,109.688725233078
100.0,29.0,0,1,0,29998,0,1,104.67088150978088
100.0,17.0,88,27,30,29855,0,0,625.5737056732178
100.0,30.0,0,0,1,29999,0,0,103.25211191177368
100.0,26.0,5,2,1,29992,0,0,212.7520411014557
100.0,31.0,0,0,0,30000,0,0,103.63268494606018
100.0,34.0,0,0,0,30000,0,0,90.41016674041748
100.0,16.0,105,53,41,29801,0,0,777.4619014263153
100.0,32.0,0,0,0,30000,0,0,94.90274548530579
100.0,35.0,0,0,0,30000,0,0,89.46383881568909
100.0,33.0,1,0,0,29999,0,0,96.36462116241455
100.0,37.0,0,0,0,30000,0,0,84.99679279327393
100.0,36.0,0,0,0,30000,0,0,87.92425751686096
100.0,38.0,0,0,0,29999,0,1,82.96220970153809
100.0,40.0,0,0,0,30000,0,0,79.49804186820984
100.0,43.0,0,0,0,30000,0,0,75.39622139930725
100.0,42.0,0,0,0,30000,0,0,76.28037691116333
100.0,41.0,0,0,0,29999,0,1,77.71548080444336
100.0,39.0,0,0,0,29999,0,1,82.02748036384583
100.0,45.0,0,0,0,30000,0,0,72.96914148330688
100.0,44.0,0,0,0,30000,0,0,74.32805275917053
100.0,48.0,0,0,0,29999,0,1,68.87765145301819
100.0,49.0,0,0,0,29999,0,1,69.25083494186401
100.0,47.0,0,0,0,29999,0,1,70.71459579467773
100.0,46.0,0,0,0,29999,0,1,71.76781058311462
100.0,50.0,0,0,0,29999,0,1,67.25741267204285
200.0,6.0,181,119,123,29577,0,0,842.7993817329407
200.0,7.0,174,93,86,29647,0,0,849.113208770752
200.0,5.0,210,126,105,29559,0,0,911.6928334236145
200.0,4.0,217,109,123,29550,0,1,912.3662407398224
200.0,2.0,193,173,198,29436,0,0,922.710688829422
200.0,3.0,197,151,160,29492,0,0,933.0937132835388
200.0,1.0,187,235,242,29336,0,0,960.4719774723053
200.0,0.0,227,235,217,29321,0,0,1030.031751871109
200.0,13.0,89,44,35,29832,0,0,695.9332656860352
200.0,12.0,120,46,40,29794,0,0,765.851639509201
200.0,9.0,134,87,73,29706,0,0,836.4585711956024
200.0,10.0,131,63,55,29751,0,0,795.6621201038361
200.0,8.0,127,93,103,29677,0,0,932.6941890716553
200.0,15.0,83,16,21,29880,0,0,767.2978551387787
200.0,14.0,70,30,36,29864,0,0,860.6052687168121
200.0,19.0,6,9,5,29979,0,1,210.6900498867035
200.0,11.0,155,51,50,29744,0,0,1032.5913622379303
200.0,21.0,4,1,1,29994,0,0,148.35022068023682
200.0,20.0,12,4,5,29979,0,0,190.97447848320007
200.0,22.0,5,0,1,29993,0,1,152.8764820098877
200.0,18.0,26,6,10,29958,0,0,327.3710527420044
200.0,23.0,0,0,2,29998,0,0,115.03839230537415
200.0,25.0,0,1,1,29998,0,0,103.16699552536011
200.0,24.0,1,0,0,29999,0,0,113.80893445014954
